customer_id,signup_date,last_activity_date,age,gender,country,plan,monthly_price,contract_type,payment_method,avg_watch_minutes_per_day,sessions_per_week,devices,fav_genre,num_profiles,watched_in_last_30_days,hours_last_30_days,num_support_tickets,num_complaints,acq_channel,first_campaign,internet_speed_mbps,app_crash_rate_per_week,tenure_days,tenure_months,rfm_recency_days,frequency_per_month,avg_monthly_spend,total_revenue_to_date,churn,customer_lifetime_days,signup_month,signup_year,days_since_last_activity,engagement_score,total_lifetime_value,avg_revenue_per_day,device_count,hours_per_session,watch_intensity,customer_segment,churn_risk_score,is_high_value_customer,is_power_user,is_dormant,is_multi_device_user,has_support_issues
CUST100000,2023-08-02,2024-11-04,66,Male,Germany,Standard,499.0,Monthly,Card,36.3,8.9,Web,Documentary,2,1,1.9,0,0,Paid Social,NewSeries2022,85.2,0.104,853,28.4,393,38.7,499.0,14188.23,0,460,8,2023,396,41.519999999999996,14171.599999999999,30.843978260869566,1,0.05337078651685393,Medium,Loyal,30,0,0,1,0,0
CUST100001,2020-08-16,2021-12-06,55,Female,Canada,Premium,799.0,Monthly,NetBanking,1.5,12.0,Mobile,Action,1,1,16.1,0,0,Paid Social,Launch2020,56.7,0.019,1934,64.5,1457,52.1,799.0,51508.87,0,477,8,2020,1460,36.9,51535.5,107.98505241090147,1,0.3354166666666667,Low,Loyal,55,1,0,1,0,0
CUST100002,2020-02-21,2021-01-07,22,Female,USA,Premium,799.0,Quarterly,ApplePay,45.2,10.5,Smart TV,Documentary,3,1,14.8,0,0,Email,NewSeries2022,47.2,0.246,2111,70.4,1790,45.6,799.0,56222.97,1,321,2,2020,1793,49.879999999999995,56249.600000000006,175.14943925233646,1,0.3523809523809524,Medium,Loyal,30,1,0,1,0,0
CUST100003,2024-02-27,2025-04-18,47,Female,India,Basic,199.0,Monthly,GooglePay,10.9,5.1,Mobile,Action,3,0,0.0,0,0,Search Ads,Launch2020,0.5,0.313,644,21.5,228,22.2,199.0,4271.87,0,416,2,2024,231,19.66,4278.5,10.268918269230769,1,0.0,Low,Mature,55,0,0,1,0,0
CUST100004,2021-07-17,2021-11-17,63,Male,India,Free Trial,0.0,Yearly,GooglePay,50.8,6.1,Tablet,Drama,1,1,5.3,0,0,Search Ads,Launch2020,79.5,0.35,1599,53.3,1476,26.5,0.0,0.0,1,123,7,2021,1479,38.92,0.0,0.0,1,0.21721311475409838,Medium,Loyal,30,0,1,1,0,0
CUST100005,2021-05-16,2022-11-15,34,Male,UK,Basic,199.0,Quarterly,NetBanking,26.4,10.0,Gaming Console,Action,1,0,0.0,0,0,Organic,SummerSale2023,42.2,0.135,1661,55.4,1113,43.4,199.0,11017.97,0,548,5,2021,1116,40.56,11024.6,20.105784671532845,1,0.0,Low,Loyal,30,0,0,1,0,0
CUST100006,2021-04-02,2022-04-03,21,Male,Germany,Premium,799.0,Monthly,GooglePay,24.8,3.5,Smart TV,Drama,1,1,2.1,0,0,Organic,Launch2020,43.2,0.745,1705,56.8,1339,15.2,799.0,45409.83,0,366,4,2021,1342,20.720000000000002,45383.2,124.0705737704918,1,0.15,Low,Loyal,30,1,0,1,0,0
CUST100007,2020-10-12,2021-05-12,35,Female,UK,Standard,499.0,Yearly,UPI,15.4,12.0,Smart TV,Romance,2,1,6.8,0,0,Organic,SummerSale2023,38.0,0.322,1877,62.6,1665,52.1,499.0,31220.77,1,212,10,2020,1668,42.459999999999994,31237.4,147.26778301886793,1,0.14166666666666666,Low,Loyal,30,1,0,1,0,0
CUST100008,2024-02-17,2025-05-24,42,Female,Mexico,Standard,499.0,Monthly,Paypal,45.8,8.0,Web,Horror,3,1,12.7,0,0,Search Ads,Direct,36.8,0.116,654,21.8,192,34.8,499.0,10878.2,0,462,2,2024,195,42.62,10878.2,23.54588744588745,1,0.396875,Medium,Mature,30,0,0,1,0,0
CUST100009,2020-07-28,2021-06-08,68,Female,India,Basic,199.0,Monthly,Paypal,45.7,9.5,Smart TV,Action,2,1,20.7,0,0,Organic,SummerSale2023,0.5,0.021,1953,65.1,1638,41.3,199.0,12954.9,0,315,7,2020,1641,47.08,12954.9,41.126666666666665,1,0.5447368421052632,Medium,Loyal,30,0,0,1,0,0
CUST100010,2023-10-17,2025-02-02,58,Male,USA,Basic,199.0,Quarterly,Paypal,25.9,8.0,Web,Documentary,1,1,12.6,0,0,Paid Social,SummerSale2023,20.6,0.059,777,25.9,303,34.8,199.0,5154.1,0,474,10,2023,306,34.66,5154.099999999999,10.873628691983123,1,0.39375,Low,Loyal,30,0,0,1,0,0
CUST100011,2024-02-25,2024-11-22,52,Other,India,Premium,799.0,Yearly,Card,71.0,7.2,Mobile,Drama,1,1,1.5,1,1,Paid Social,Festive2021,31.7,0.296,646,21.5,375,31.3,799.0,17205.13,1,271,2,2024,378,50.3,17178.5,63.48756457564576,1,0.05208333333333333,High,Mature,30,0,1,1,0,1
CUST100012,2023-01-21,2023-05-23,63,Female,USA,Standard,499.0,Monthly,GooglePay,35.7,6.1,Mobile,Action,1,1,1.3,2,1,Email,Direct,19.6,0.423,1046,34.9,924,26.5,499.0,17398.47,0,122,1,2023,927,32.879999999999995,17415.1,142.61040983606557,1,0.05327868852459017,Medium,Loyal,30,0,0,1,0,1
CUST100013,2020-06-27,2020-09-27,22,Male,India,Basic,199.0,Monthly,NetBanking,34.7,6.6,Tablet,Drama,2,1,0.6,0,0,Paid Social,SummerSale2023,32.0,0.217,1984,66.1,1892,28.7,199.0,13160.53,0,92,6,2020,1895,33.980000000000004,13153.9,143.04923913043478,1,0.022727272727272728,Medium,Loyal,30,0,0,1,0,0
