customer_id,signup_date,last_activity_date,age,gender,country,plan,monthly_price,contract_type,payment_method,avg_watch_minutes_per_day,sessions_per_week,devices,fav_genre,num_profiles,watched_in_last_30_days,hours_last_30_days,num_support_tickets,num_complaints,acq_channel,first_campaign,internet_speed_mbps,app_crash_rate_per_week,tenure_days,tenure_months,rfm_recency_days,frequency_per_month,avg_monthly_spend,total_revenue_to_date,churn
CUST100000,2023-08-02,2024-11-04,66,Male,Germany,Standard,499.0,Monthly,Card,36.3,8.9,Web,Documentary,2,1,1.9,0,0,Paid Social,NewSeries2022,85.2,0.104,853,28.4,393,38.7,499.0,14188.23,No
CUST100001,2020-08-16,2021-12-06,55,Female,Canada,Premium,799.0,Monthly,NetBanking,1.5,12.0,Mobile,Action,1,1,16.1,0,0,Paid Social,Launch2020,56.7,0.019,1934,64.5,1457,52.1,799.0,51508.87,No
CUST100002,2020-02-21,2021-01-07,22,Female,USA,Premium,799.0,Quarterly,ApplePay,45.2,10.5,Smart TV,Documentary,3,1,14.8,0,0,Email,NewSeries2022,47.2,0.246,2111,70.4,1790,45.6,799.0,56222.97,Yes
CUST100003,2024-02-27,2025-04-18,47,Female,India,Basic,199.0,Monthly,GooglePay,10.9,5.1,Mobile,Action,3,0,0.0,0,0,Search Ads,Launch2020,0.5,0.313,644,21.5,228,22.2,199.0,4271.87,No
CUST100004,2021-07-17,2021-11-17,63,Male,India,Free Trial,0.0,Yearly,GooglePay,50.8,6.1,Tablet,Drama,1,1,5.3,0,0,Search Ads,Launch2020,79.5,0.35,1599,53.3,1476,26.5,0.0,0.0,Yes
CUST100005,2021-05-16,2022-11-15,34,Male,UK,Basic,199.0,Quarterly,NetBanking,26.4,10.0,Gaming Console,Action,1,0,0.0,0,0,Organic,SummerSale2023,42.2,0.135,1661,55.4,1113,43.4,199.0,11017.97,No
CUST100006,2021-04-02,2022-04-03,21,Male,Germany,Premium,799.0,Monthly,GooglePay,24.8,3.5,Smart TV,Drama,1,1,2.1,0,0,Organic,Launch2020,43.2,0.745,1705,56.8,1339,15.2,799.0,45409.83,No
CUST100007,2020-10-12,2021-05-12,35,Female,UK,Standard,499.0,Yearly,UPI,15.4,12.0,Smart TV,Romance,2,1,6.8,0,0,Organic,SummerSale2023,38.0,0.322,1877,62.6,1665,52.1,499.0,31220.77,Yes
CUST100008,2024-02-17,2025-05-24,42,Female,Mexico,Standard,499.0,Monthly,Paypal,45.8,8.0,Web,Horror,3,1,12.7,0,0,Search Ads,Direct,36.8,0.116,654,21.8,192,34.8,499.0,10878.2,No
CUST100009,2020-07-28,2021-06-08,68,Female,India,Basic,199.0,Monthly,Paypal,45.7,9.5,Smart TV,Action,2,1,20.7,0,0,Organic,SummerSale2023,0.5,0.021,1953,65.1,1638,41.3,199.0,12954.9,No
